         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.002    0.002 queue.py:1(<module>)
        1    0.001    0.001    0.002    0.002 gpu_shader_fp64.py:61(<module>)
     3175    0.002    0.000    0.002    0.000 wrapper.py:33(asList)
        1    0.000    0.000    0.002    0.002 GL_4_0.py:1(<module>)
        1    0.001    0.001    0.002    0.002 uniform_buffer_object.py:113(<module>)
        1    0.000    0.000    0.002    0.002 GL_2_0.py:1(<module>)
        1    0.000    0.000    0.002    0.002 glunurbs.py:6(<module>)
        1    0.000    0.000    0.002    0.002 shader_objects.py:1(<module>)
       11    0.000    0.000    0.002    0.000 pkg_resources.py:2394(_get_metadata)
        1    0.000    0.000    0.002    0.002 baseplatform.py:89(install)
        1    0.000    0.000    0.002    0.002 win32.py:103(GetCurrentContext)
        1    0.001    0.001    0.002    0.002 random.py:37(<module>)
       58    0.000    0.000    0.002    0.000 GL_3_3.py:12(_f)
        1    0.000    0.000    0.002    0.002 plistlib.py:50(<module>)
      145    0.001    0.000    0.002    0.000 main.py:117(BFS)
        1    0.000    0.000    0.002    0.002 win32.py:23(GL)
        1    0.001    0.001    0.002    0.002 texture_buffer_range.py:21(<module>)
        2    0.001    0.001    0.002    0.001 function_base.py:1(<module>)
        1    0.001    0.001    0.002    0.002 invalidate_subdata.py:54(<module>)
        1    0.000    0.000    0.002    0.002 framebuffer_object.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sync.py:1(<module>)
       46    0.000    0.000    0.002    0.000 GL_1_3.py:12(_f)
        1    0.000    0.000    0.002    0.002 GUI.py:187(<listcomp>)
        1    0.000    0.000    0.002    0.002 vertex_type_2_10_10_10_rev.py:1(<module>)
        2    0.001    0.000    0.002    0.001 util.py:1(<module>)
        1    0.000    0.000    0.002    0.002 imaging.py:1(<module>)
      228    0.000    0.000    0.002    0.000 __init__.py:363(__getattr__)
